model,score_mean,score_std,human_mean,human_std
baseline,0.4214194267500001,0.2678658340754173,4.607142857142857,0.9279218507174842
ours_0.01,0.1886356238392857,0.13152929294487237,1.0,0.0
ours_0.05,0.198279279625,0.1320220963467984,1.0,0.0
ours_0.1,0.23790131405357132,0.15621739483101046,2.142857142857143,1.2566705133887641
ours_0.3,0.3179393771785715,0.2307732748868656,4.625,0.9057894597833127
ours_0.5,0.3914562442321429,0.2554725462852629,4.732142857142857,0.6739590337852738
instruct,0.25769627098214287,0.2107765963479942,4.339285714285714,0.5144029447917166
actadd_c3.0,0.24542068057142855,0.15178832758324257,1.0535714285714286,0.2966260490702275
actadd_c9.0,0.3189995011964285,0.17379077090023531,1.0,0.0
actadd_c15.0,0.32003225382142847,0.17376381144092,1.0,0.0
actadd_c0.1_l6,0.40228942142857144,0.25808837102530857,4.678571428571429,0.6635207157728694
